year_month,person,screen_time_seconds
2020-03,alex witt,9641
2020-04,alex witt,9847
2020-05,alex witt,11319
2020-06,alex witt,10403
2020-07,alex witt,10393
2010-01,ali velshi,16927
2010-02,ali velshi,20655
2010-03,ali velshi,22042
2010-04,ali velshi,29552
2010-05,ali velshi,7551
2010-06,ali velshi,8301
2010-07,ali velshi,15396
2010-08,ali velshi,35675
2010-09,ali velshi,34316
2010-10,ali velshi,25461
2010-11,ali velshi,33131
2010-12,ali velshi,32634
2011-01,ali velshi,34972
2011-02,ali velshi,17288
2011-03,ali velshi,25461
2011-04,ali velshi,28724
2011-05,ali velshi,28282
2011-06,ali velshi,19075
2011-07,ali velshi,52926
2011-08,ali velshi,48847
2011-09,ali velshi,15621
2011-10,ali velshi,31047
2011-11,ali velshi,15734
2011-12,ali velshi,23625
2012-01,ali velshi,14191
2012-02,ali velshi,9930
2012-03,ali velshi,9927
2012-04,ali velshi,10069
2012-05,ali velshi,17396
2012-06,ali velshi,7689
2012-07,ali velshi,12717
2012-08,ali velshi,3731
2012-09,ali velshi,10544
2012-10,ali velshi,14571
2012-11,ali velshi,13468
2012-12,ali velshi,21462
2013-01,ali velshi,18368
2013-02,ali velshi,6255
2013-03,ali velshi,11263
2013-04,ali velshi,2453
2013-05,ali velshi,21
2013-06,ali velshi,0
2013-07,ali velshi,0
2013-08,ali velshi,3
2013-09,ali velshi,6
2013-10,ali velshi,9
2013-11,ali velshi,0
2013-12,ali velshi,18
2014-01,ali velshi,6
2014-02,ali velshi,3
2014-03,ali velshi,0
2014-04,ali velshi,15
2014-05,ali velshi,21
2014-06,ali velshi,51
2014-07,ali velshi,12
2014-08,ali velshi,0
2014-09,ali velshi,3
2014-10,ali velshi,27
2014-11,ali velshi,6
2014-12,ali velshi,24
2015-01,ali velshi,18
2015-02,ali velshi,3
2015-03,ali velshi,3
2015-04,ali velshi,3
2015-05,ali velshi,18
2015-06,ali velshi,36
2015-07,ali velshi,12
2015-08,ali velshi,9
2015-09,ali velshi,84
2015-10,ali velshi,15
2015-11,ali velshi,12
2015-12,ali velshi,238
2016-01,ali velshi,45
2016-02,ali velshi,6
2016-03,ali velshi,6
2016-04,ali velshi,159
2016-05,ali velshi,328
2016-06,ali velshi,3836
2016-07,ali velshi,15
2016-08,ali velshi,4062
2016-09,ali velshi,223
2016-10,ali velshi,870
2016-11,ali velshi,9162
2016-12,ali velshi,8148
2017-01,ali velshi,7555
2017-02,ali velshi,17610
2017-03,ali velshi,15820
2017-04,ali velshi,17682
2017-05,ali velshi,16018
2017-06,ali velshi,26876
2017-07,ali velshi,35879
2017-08,ali velshi,34590
2017-09,ali velshi,30231
2017-10,ali velshi,17769
2017-11,ali velshi,33205
2017-12,ali velshi,34197
2018-01,ali velshi,27226
2018-02,ali velshi,35220
2018-03,ali velshi,25238
2018-04,ali velshi,39254
2018-05,ali velshi,16897
2018-06,ali velshi,24533
2018-07,ali velshi,47022
2018-08,ali velshi,44896
2018-09,ali velshi,20980
2018-10,ali velshi,37948
2018-11,ali velshi,30579
2018-12,ali velshi,29072
2019-01,ali velshi,32822
2019-02,ali velshi,31805
2019-03,ali velshi,39569
2019-04,ali velshi,35581
2019-05,ali velshi,29068
2019-06,ali velshi,33393
2019-07,ali velshi,26307
2019-08,ali velshi,42430
2019-09,ali velshi,26834
2019-10,ali velshi,22786
2019-11,ali velshi,30349
2019-12,ali velshi,26337
2020-01,ali velshi,36541
2020-02,ali velshi,31044
2020-03,ali velshi,42792
2020-04,ali velshi,28412
2020-05,ali velshi,33925
2020-06,ali velshi,32181
2020-07,ali velshi,43112
2010-01,alisyn camerota,12847
2010-02,alisyn camerota,7207
2010-03,alisyn camerota,5957
2010-04,alisyn camerota,5169
2010-05,alisyn camerota,4656
2010-06,alisyn camerota,4470
2010-07,alisyn camerota,12701
2010-08,alisyn camerota,11470
2010-09,alisyn camerota,5879
2010-10,alisyn camerota,6792
2010-11,alisyn camerota,9130
2010-12,alisyn camerota,8307
2011-01,alisyn camerota,7865
2011-02,alisyn camerota,4648
2011-03,alisyn camerota,6502
2011-04,alisyn camerota,8135
2011-05,alisyn camerota,10286
2011-06,alisyn camerota,11472
2011-07,alisyn camerota,9111
2011-08,alisyn camerota,6390
2011-09,alisyn camerota,7818
2011-10,alisyn camerota,9042
2011-11,alisyn camerota,9892
2011-12,alisyn camerota,13489
2012-01,alisyn camerota,9900
2012-02,alisyn camerota,5271
2012-03,alisyn camerota,9292
2012-04,alisyn camerota,10004
2012-05,alisyn camerota,7037
2012-06,alisyn camerota,12151
2012-07,alisyn camerota,10052
2012-08,alisyn camerota,11488
2012-09,alisyn camerota,11996
2012-10,alisyn camerota,8530
2012-11,alisyn camerota,9441
2012-12,alisyn camerota,12594
2013-01,alisyn camerota,12286
2013-02,alisyn camerota,10426
2013-03,alisyn camerota,20983
2013-04,alisyn camerota,10923
2013-05,alisyn camerota,9718
2013-06,alisyn camerota,13575
2013-07,alisyn camerota,11573
2013-08,alisyn camerota,9699
2013-09,alisyn camerota,12855
2013-10,alisyn camerota,8780
2013-11,alisyn camerota,6743
2013-12,alisyn camerota,7071
2014-01,alisyn camerota,6923
2014-02,alisyn camerota,5710
2014-03,alisyn camerota,3565
2014-04,alisyn camerota,306
2014-05,alisyn camerota,159
2014-06,alisyn camerota,225
2014-07,alisyn camerota,3246
2014-08,alisyn camerota,8981
2014-09,alisyn camerota,11845
2014-10,alisyn camerota,13544
2014-11,alisyn camerota,12991
2014-12,alisyn camerota,12151
2015-01,alisyn camerota,10753
2015-02,alisyn camerota,10185
2015-03,alisyn camerota,9930
2015-04,alisyn camerota,7405
2015-05,alisyn camerota,10805
2015-06,alisyn camerota,12248
2015-07,alisyn camerota,12519
2015-08,alisyn camerota,10931
2015-09,alisyn camerota,15411
2015-10,alisyn camerota,11992
2015-11,alisyn camerota,15122
2015-12,alisyn camerota,15298
2016-01,alisyn camerota,13437
2016-02,alisyn camerota,11872
2016-03,alisyn camerota,18197
2016-04,alisyn camerota,10008
2016-05,alisyn camerota,14996
2016-06,alisyn camerota,12970
2016-07,alisyn camerota,12942
2016-08,alisyn camerota,9433
2016-09,alisyn camerota,14936
2016-10,alisyn camerota,13913
2016-11,alisyn camerota,13363
2016-12,alisyn camerota,10897
2017-01,alisyn camerota,13461
2017-02,alisyn camerota,15571
2017-03,alisyn camerota,13082
2017-04,alisyn camerota,11692
2017-05,alisyn camerota,10853
2017-06,alisyn camerota,20303
2017-07,alisyn camerota,22889
2017-08,alisyn camerota,16741
2017-09,alisyn camerota,16127
2017-10,alisyn camerota,19646
2017-11,alisyn camerota,15487
2017-12,alisyn camerota,23245
2018-01,alisyn camerota,21884
2018-02,alisyn camerota,21015
2018-03,alisyn camerota,15617
2018-04,alisyn camerota,17315
2018-05,alisyn camerota,18686
2018-06,alisyn camerota,15776
2018-07,alisyn camerota,20901
2018-08,alisyn camerota,17581
2018-09,alisyn camerota,19895
2018-10,alisyn camerota,16710
2018-11,alisyn camerota,13838
2018-12,alisyn camerota,10361
2019-01,alisyn camerota,21593
2019-02,alisyn camerota,12066
2019-03,alisyn camerota,16039
2019-04,alisyn camerota,26672
2019-05,alisyn camerota,23146
2019-06,alisyn camerota,18800
2019-07,alisyn camerota,21420
2019-08,alisyn camerota,13993
2019-09,alisyn camerota,21494
2019-10,alisyn camerota,25904
2019-11,alisyn camerota,19287
2019-12,alisyn camerota,21506
2020-01,alisyn camerota,22405
2020-02,alisyn camerota,16937
2020-03,alisyn camerota,24796
2020-04,alisyn camerota,35123
2020-05,alisyn camerota,19378
2020-06,alisyn camerota,25522
2020-07,alisyn camerota,19825
2010-01,anderson cooper,91901
2010-02,anderson cooper,44743
2010-03,anderson cooper,59318
2010-04,anderson cooper,50052
2010-05,anderson cooper,35134
2010-06,anderson cooper,35098
2010-07,anderson cooper,55242
2010-08,anderson cooper,47131
2010-09,anderson cooper,74708
2010-10,anderson cooper,75709
2010-11,anderson cooper,62430
2010-12,anderson cooper,67083
2011-01,anderson cooper,89959
2011-02,anderson cooper,75412
2011-03,anderson cooper,65472
2011-04,anderson cooper,50309
2011-05,anderson cooper,60970
2011-06,anderson cooper,61959
2011-07,anderson cooper,36254
2011-08,anderson cooper,86653
2011-09,anderson cooper,68001
2011-10,anderson cooper,44558
2011-11,anderson cooper,50019
2011-12,anderson cooper,65065
2012-01,anderson cooper,46436
2012-02,anderson cooper,42019
2012-03,anderson cooper,50743
2012-04,anderson cooper,52157
2012-05,anderson cooper,80662
2012-06,anderson cooper,51730
2012-07,anderson cooper,58217
2012-08,anderson cooper,55366
2012-09,anderson cooper,48369
2012-10,anderson cooper,58889
2012-11,anderson cooper,63027
2012-12,anderson cooper,64191
2013-01,anderson cooper,65463
2013-02,anderson cooper,30224
2013-03,anderson cooper,32727
2013-04,anderson cooper,63169
2013-05,anderson cooper,59708
2013-06,anderson cooper,65916
2013-07,anderson cooper,78342
2013-08,anderson cooper,60508
2013-09,anderson cooper,52763
2013-10,anderson cooper,49215
2013-11,anderson cooper,38230
2013-12,anderson cooper,43765
2014-01,anderson cooper,58292
2014-02,anderson cooper,31723
2014-03,anderson cooper,57458
2014-04,anderson cooper,26449
2014-05,anderson cooper,53179
2014-06,anderson cooper,47302
2014-07,anderson cooper,33873
2014-08,anderson cooper,39629
2014-09,anderson cooper,45254
2014-10,anderson cooper,52074
2014-11,anderson cooper,26371
2014-12,anderson cooper,23329
2015-01,anderson cooper,35574
2015-02,anderson cooper,31347
2015-03,anderson cooper,32287
2015-04,anderson cooper,24035
2015-05,anderson cooper,27455
